eventName,sportCode
Men's 200m Freestyle,SWM
Men's 400m Freestyle,SWM
Men's 800m Freestyle,SWM
Men's 1500m Freestyle,SWM
Men's 100m Backstroke,SWM
Men's 200m Backstroke,SWM
Men's 100m Breaststroke,SWM
Men's 200m Breaststroke,SWM
Men's 100m Butterfly,SWM
Men's 200m Butterfly,SWM
Men's 200m Individual Medley,SWM
Men's 400m Individual Medley,SWM
Men's 4 x 100m Freestyle Relay,SWM
Men's 4 x 200m Freestyle Relay,SWM
Men's 4 x 100m Medley Relay,SWM
Mixed 4 x 100m Medley Relay,SWM
Men's Singles,TTE
Women's Singles,TTE
Mixed Doubles,TTE
Men's Team,TTE
Women's Team,TTE
Men -58kg,TKW
Men -68kg,TKW
Men -80kg,TKW
Men +80kg,TKW
Women -49kg,TKW
Women -57kg,TKW
Women -67kg,TKW
Women +67kg,TKW
Men's Singles,TEN
Women's Singles,TEN
Men's Doubles,TEN
Women's Doubles,TEN
Mixed Doubles,TEN
Men,GTR
Women,GTR
Women's Individual,TRI
Men's Individual,TRI
Mixed Relay,TRI
Men,VVO
Women,VVO
Men,WPO
Women,WPO
Women's 49kg,WLF
Women's 59kg,WLF
Women's 71kg,WLF
Women's 81kg,WLF
Women's +81kg,WLF
Men's 61kg,WLF
Men's 73kg,WLF
Men's 89kg,WLF
Men's 102kg,WLF
Men's +102kg,WLF
Men's Greco-Roman 60kg,WRE
Men's Greco-Roman 67kg,WRE
Men's Greco-Roman 77kg,WRE
Men's Greco-Roman 87kg,WRE
Men's Greco-Roman 97kg,WRE
Men's Greco-Roman 130kg,WRE
Women's Freestyle 50kg,WRE
Women's Freestyle 53kg,WRE
Women's Freestyle 57kg,WRE
Women's Freestyle 62kg,WRE
Women's Freestyle 68kg,WRE
Women's Freestyle 76kg,WRE
Men's Freestyle 57kg,WRE
Men's Freestyle 65kg,WRE
Men's Freestyle 74kg,WRE
Men's Freestyle 86kg,WRE
Men's Freestyle 97kg,WRE
Men's Freestyle 125kg,WRE
